State,sed_code_2018,Division name,Incidents by State Electoral Division
New South Wales,10001,Albury,7
New South Wales,10002,Auburn,NA
New South Wales,10003,Ballina,1
New South Wales,10004,Balmain,NA
New South Wales,10005,Bankstown,NA
New South Wales,10006,Barwon,3
New South Wales,10007,Bathurst,8
New South Wales,10008,Baulkham Hills,NA
New South Wales,10009,Bega,11
New South Wales,10010,Blacktown,NA
New South Wales,10011,Blue Mountains,5
New South Wales,10012,Cabramatta,NA
New South Wales,10013,Camden,NA
New South Wales,10014,Campbelltown,NA
New South Wales,10015,Canterbury,NA
New South Wales,10016,Castle Hill,NA
New South Wales,10017,Cessnock,6
New South Wales,10018,Charlestown,NA
New South Wales,10019,Clarence,3
New South Wales,10020,Coffs Harbour,NA
New South Wales,10021,Coogee,NA
New South Wales,10022,Cootamundra,1
New South Wales,10023,Cronulla,NA
New South Wales,10024,Davidson,NA
New South Wales,10025,Drummoyne,NA
New South Wales,10026,Dubbo,NA
New South Wales,10027,East Hills,NA
New South Wales,10028,Epping,NA
New South Wales,10029,Fairfield,NA
New South Wales,10030,Gosford,2
New South Wales,10031,Goulburn,5
New South Wales,10032,Granville,NA
New South Wales,10033,Hawkesbury,4
New South Wales,10034,Heathcote,NA
New South Wales,10035,Heffron,NA
New South Wales,10036,Holsworthy,1
New South Wales,10037,Hornsby,NA
New South Wales,10038,Keira,NA
New South Wales,10039,Kiama,3
New South Wales,10040,Kogarah,NA
New South Wales,10041,Ku-ring-gai,NA
New South Wales,10042,Lake Macquarie,2
New South Wales,10043,Lakemba,NA
New South Wales,10044,Lane Cove,NA
New South Wales,10045,Lismore,6
New South Wales,10046,Liverpool,NA
New South Wales,10047,Londonderry,NA
New South Wales,10048,Macquarie Fields,NA
New South Wales,10049,Maitland,NA
New South Wales,10050,Manly,NA
New South Wales,10051,Maroubra,NA
New South Wales,10052,Miranda,NA
New South Wales,10053,Monaro,16
New South Wales,10054,Mount Druitt,NA
New South Wales,10055,Mulgoa,NA
New South Wales,10056,Murray,NA
New South Wales,10057,Myall Lakes,6
New South Wales,10058,Newcastle,NA
New South Wales,10059,Newtown,NA
New South Wales,10060,North Shore,NA
New South Wales,10061,Northern Tablelands,16
New South Wales,10062,Oatley,NA
New South Wales,10063,Orange,NA
New South Wales,10064,Oxley,7
New South Wales,10065,Parramatta,NA
New South Wales,10066,Penrith,NA
New South Wales,10067,Pittwater,NA
New South Wales,10068,Port Macquarie,5
